gateway,gw_lat,gw_lon,gw_elevation,range
24e124fffef4778e,20.65459,106.06314,8.0,331.6503478881693
24e124fffef4778e,20.90764894321804,106.64059638977052,4.0,331.6503478881693
7076ff0054070418,20.654447555541992,106.06317138671876,7.0,5427.599656682872
7076ff0054070418,20.894758224487305,106.59231567382812,8.0,5427.599656682872
7276ff002e0507da,16.07419776916504,108.15262603759766,14.0,876.3676374570512
7276ff002e06029f,16.07410430908203,108.15243530273438,14.0,1030.2491338312154
7276ff002e061f5b,16.075603485107422,108.22207641601562,9.0,10329.106777407831
7276ff002e062cf2,16.118301391601562,108.273681640625,584.0,19813.57713406202
a840411eebb44150,16.0740984,108.15253,14.0,460.0977338068836
a84041ffff1ec39f,16.091299730870233,108.2174563407898,0.0,7578.459900662321
ac1f09fffe00ab20,16.05484,108.21994,8.0,5090.664916720042
ac1f09fffe00ab25,16.11073,108.12857,12.0,4766.173590182927
ac1f09fffe06fcf2,16.054765682623003,108.21985626414312,9.0,6811.822213990172
ac1f09fffe0fd629,16.06819,108.15451,7.0,1440.1712268271285
ac1f09fffe0fd63b,15.98569,108.23986,15.0,14438.79038658733
