device,lat,lon,gateway,gw_lat,gw_lon,rssi,snr,time,frequency,bandwidth,spreading_factor,distance,log_distance,delta_lat,delta_lon,angle,gateway_id,elevation,gw_elevation,delta_elevation,terrain_type,distance_3d,log_distance_3d,fspl,elevation_angle,slope,roughness,terrain_mean,terrain_std,terrain_min,terrain_max,terrain_range,obstruction_ratio,max_obstruction,mean_obstruction,fresnel_obstruction_ratio,min_fresnel_clearance,mean_fresnel_clearance,forest_ratio,water_ratio,residential_ratio,unknown_ratio
board01,16.073028900000004,108.1499564,a840411eebb44150,16.0740984,108.15253,-112,-17.5,2026-02-15T08:24:08.041189+00:00,922200000,125000,12,299.59782767007727,2.476538660047728,-0.0010694999999962,-0.0025736000000051,-2.7477399642844134,6,13.0,14.0,-14.5,unknown,299.94850948892764,2.477046708172649,81.27743652112076,-0.0483040264311985,1.598483279708075,1.3646977687385584,14.5,1.02469507659596,13.0,16.0,3.0,0.0,-1.5,0.0,0.1,-0.9855599925952632,3.897906632396979,0.0,0.0,0.0,1.0
board01,16.0730237,108.14996379999998,a840411eebb44150,16.0740984,108.15253,-113,-19.2,2026-02-15T08:23:38.047466+00:00,922200000,125000,12,299.102824506609,2.475820514207656,-0.0010747000000002,-0.0025662000000181,-2.744993302595659,6,13.0,14.0,-14.5,unknown,299.45408600957734,2.4763302433487824,81.26310722464342,-0.0483836560689425,1.598483279708075,1.3646977687385584,14.5,1.02469507659596,13.0,16.0,3.0,0.0,-1.5,0.0,0.1,-0.9817151400943444,3.900676984211648,0.0,0.0,0.0,1.0
board01,16.0746691,108.1549485,a840411eebb44150,16.0740984,108.15253,-114,-19.0,2026-02-14T12:49:15.041217+00:00,922200000,125000,12,266.0886518600574,2.425026353169768,0.0005707000000008,0.0024185000000045,0.2317335642459841,6,12.0,14.0,-15.5,unknown,266.5397168316625,2.425761931995432,80.2517409975764,-0.0580872646476111,1.2587141249717988,1.2611106216347556,13.88888888888889,1.3698697784375504,12.0,16.0,4.0,0.0,-1.5,0.0,0.2222222222222222,-1.652277958013899,4.265345342611453,0.0,0.0,0.0,1.0
board01,16.074190800000004,108.1537089,a840411eebb44150,16.0740984,108.15253,-88,-2.2,2026-02-14T12:49:01.041721+00:00,922200000,125000,12,126.3810524777278,2.10168196776611,9.240000000332316e-05,0.0011788999999993,0.078218242278908,6,16.0,14.0,-11.5,unknown,126.90319312522514,2.103472549905725,73.80595335578226,-0.0903734135244725,0.7944757266525427,1.0071742649611335,15.4,0.8,14.0,16.0,2.0,0.0,-1.5,0.0,0.0,1.5,6.098833066682801,0.0,0.0,0.0,1.0
board01,16.0737812,108.1525523,a840411eebb44150,16.0740984,108.15253,-59,7.8,2026-02-14T12:48:47.044313+00:00,922200000,125000,12,35.35141997925206,1.5484068630202728,-0.0003172000000013,2.229999999769916e-05,-1.500609159099469,6,13.0,14.0,-14.5,unknown,38.20959165640823,1.5821723964343852,63.37995028635548,-0.3626976729929084,1.1671537229025075,1.2367699866992246,13.5,0.5,13.0,14.0,1.0,0.0,-1.5,0.0,0.0,1.5,8.25,0.0,0.0,0.0,1.0
board01,16.0733644,108.1515222,a840411eebb44150,16.0740984,108.15253,-74,8.5,2026-02-14T12:48:33.046437+00:00,922200000,125000,12,135.1170273586919,2.130710081975045,-0.0007340000000013,-0.0010077999999964,-2.512112316281326,6,15.0,14.0,-12.5,unknown,135.69399795956156,2.132560638295767,74.38771512358312,-0.0918597811641011,0.72580528345811,0.7110555533852472,14.6,1.0198039027185568,13.0,16.0,3.0,0.0,-1.5,0.0,0.0,1.5,6.3393204147452975,0.0,0.0,0.0,1.0
board01,16.0730016,108.1505016,a840411eebb44150,16.0740984,108.15253,-92,-3.2,2026-02-14T12:48:19.045864+00:00,922200000,125000,12,248.68854762232525,2.395655785997924,-0.0010967999999991,-0.0020284000000003,-2.645900754837528,6,14.0,14.0,-13.5,unknown,249.05470025378267,2.396294742314213,79.66239720395204,-0.0541519651979135,1.2587141249717988,1.0384603988597734,14.333333333333334,0.816496580927726,13.0,16.0,3.0,0.0,-1.5,0.0,0.0,0.2095735603026796,4.923831418538882,0.0,0.0,0.0,1.0
board01,16.072916900000003,108.1499201,a840411eebb44150,16.0740984,108.15253,-101,-7.8,2026-02-14T12:48:05.042934+00:00,922200000,125000,12,308.2600080426326,2.488917185404454,-0.0011814999999977,-0.0026098999999959,-2.7164962254665377,6,13.0,14.0,-14.5,unknown,308.60084665866344,2.489397113232901,81.5244446223258,-0.0469517296433155,1.598483279708075,1.3646977687385584,14.363636363636363,0.8813963377120598,13.0,16.0,3.0,0.0,-1.5,0.0,0.1818181818181818,-1.3373938982956162,3.931543139547809,0.0,0.0,0.0,1.0
board01,16.0729952,108.1498938,a840411eebb44150,16.0740984,108.15253,-106,-11.0,2026-02-14T12:47:51.052290+00:00,922200000,125000,12,307.2254656266078,2.4874572111079845,-0.0011031999999993,-0.0026361999999977,-2.745256464272287,6,13.0,14.0,-14.5,unknown,307.5674506990068,2.487940372970169,81.49530981707116,-0.0471092498664762,1.598483279708075,1.3646977687385584,14.545454545454543,0.9875254992000196,13.0,16.0,3.0,0.0,-1.5,0.0,0.0909090909090909,-0.3296896194501979,3.755527141073472,0.0,0.0,0.0,1.0
board01,16.072997899999997,108.1498945,a840411eebb44150,16.0740984,108.15253,-106,-10.8,2026-02-14T12:47:37.054363+00:00,922200000,125000,12,307.03711354044015,2.4871908746029927,-0.0011005000000032,-0.0026354999999966,-2.7460339296383545,6,13.0,14.0,-14.5,unknown,307.3793081702884,2.4876746287788074,81.48999493324392,-0.0471380420902704,1.598483279708075,1.3646977687385584,14.545454545454543,0.9875254992000196,13.0,16.0,3.0,0.0,-1.5,0.0,0.0909090909090909,-0.3282855588505846,3.756584555685309,0.0,0.0,0.0,1.0
board01,16.0748339,108.1550591,a840411eebb44150,16.0740984,108.15253,-113,-19.0,2026-02-14T08:15:37.018657+00:00,922200000,125000,12,282.3327441155247,2.450761249255756,0.0007355000000011,0.0025291000000038,0.2830089547154612,6,12.0,14.0,-15.5,unknown,282.7578971484304,2.451414743182256,80.76479722131289,-0.0547624049843994,1.2587141249717988,1.2611106216347556,13.8,1.4,12.0,16.0,4.0,0.0,-1.5,0.0,0.3,-1.9273492406817656,4.1959261762531685,0.0,0.0,0.0,1.0
board01,16.074213500000003,108.15346779999996,a840411eebb44150,16.0740984,108.15253,-89,-2.0,2026-02-14T08:15:22.016145+00:00,922200000,125000,12,101.01579778068457,2.004389298064476,0.0001151000000021,0.00093779999996,0.1221232949444207,6,16.0,14.0,-11.5,unknown,101.66829103151169,2.0071855234505978,71.88021282667972,-0.1126342073368427,1.1671537229025075,1.092520022699813,15.25,0.82915619758885,14.0,16.0,2.0,0.0,-1.5,0.0,0.0,1.5,6.649308431027549,0.0,0.0,0.0,1.0
board01,16.0736263,108.15192890000004,a840411eebb44150,16.0740984,108.15253,-78,8.5,2026-02-14T08:15:07.019204+00:00,922200000,125000,12,82.95026418264686,1.9188177735174987,-0.0004720999999996,-0.0006010999999546,-2.475821821580155,6,15.0,14.0,-12.5,unknown,83.88680663829626,1.9236936622024576,70.21037560171693,-0.147921906320891,0.974622431492503,0.8979977728257459,14.0,0.816496580927726,13.0,15.0,2.0,0.0,-1.5,0.0,0.0,1.5,7.884523203502774,0.0,0.0,0.0,1.0
board01,16.07316,108.1506968,a840411eebb44150,16.0740984,108.15253,-89,5.2,2026-02-14T08:14:52.022311+00:00,922200000,125000,12,221.9334047971928,2.346222675946382,-0.000938399999999,-0.0018331999999929,-2.668476946700155,6,14.0,14.0,-13.5,unknown,222.34362182188772,2.347024675735532,78.67699587237843,-0.0606423835629599,1.1409239476247532,1.0007996802557444,14.375,0.8569568250501305,13.0,16.0,3.0,0.0,-1.5,0.0,0.0,1.082304668866243,5.1217901240844,0.0,0.0,0.0,1.0
board01,16.0730663,108.15000129999996,a840411eebb44150,16.0740984,108.15253,-108,-12.5,2026-02-14T08:14:22.028932+00:00,922200000,125000,12,293.54994512829035,2.4676820035333624,-0.0010320999999997,-0.0025287000000417,-2.7540764577284667,6,13.0,14.0,-14.5,unknown,293.9078431835773,2.4682111757490275,81.10072587264833,-0.0492952241337948,1.598483279708075,1.3646977687385584,14.4,0.916515138991168,13.0,16.0,3.0,0.0,-1.5,0.0,0.0,0.0616358862762531,4.031912927474721,0.0,0.0,0.0,1.0
board01,16.0730567,108.14999,a840411eebb44150,16.0740984,108.15253,-108,-13.2,2026-02-14T08:13:52.028413+00:00,922200000,125000,12,295.079011256008,2.4699383195647777,-0.0010417000000018,-0.0025399999999962,-2.752394313604695,6,13.0,14.0,-14.5,unknown,295.43505696484857,2.4704620283592478,81.14574292485273,-0.0490408082026855,1.598483279708075,1.3646977687385584,14.4,0.916515138991168,13.0,16.0,3.0,0.0,-1.5,0.0,0.0,0.0496579400045824,4.023282394786715,0.0,0.0,0.0,1.0
board01,16.0731631,108.15046190000002,a840411eebb44150,16.0740984,108.15253,-100,-5.5,2026-02-14T02:49:57.053725+00:00,922200000,125000,12,244.2229702845552,2.387786508907297,-0.0009353000000018,-0.002068099999974,-2.716868489353295,6,14.0,14.0,-13.5,unknown,244.5958078434925,2.3884490093395128,79.50548254445803,-0.0551371541053584,1.2587141249717988,1.0384603988597734,14.444444444444445,0.8314794192830981,13.0,16.0,3.0,0.0,-1.5,0.0,0.0,0.2488322702943222,4.839712459187447,0.0,0.0,0.0,1.0
board01,16.0735399,108.1514221,a840411eebb44150,16.0740984,108.15253,-91,1.5,2026-02-14T02:49:43.049132+00:00,922200000,125000,12,133.67779910867787,2.126059286654748,-0.0005585000000003,-0.0011078999999938,-2.6746649496565067,6,15.0,14.0,-12.5,unknown,134.2609547654866,2.1279497312438664,74.2954969825451,-0.0928346584364806,1.0170630994091814,0.8158431221748454,14.4,1.0198039027185568,13.0,16.0,3.0,0.0,-1.5,0.0,0.0,1.5,6.548989654855117,0.0,0.0,0.0,1.0
board01,16.073991499999998,108.1526189,a840411eebb44150,16.0740984,108.15253,-78,8.5,2026-02-14T02:49:29.055053+00:00,922200000,125000,12,15.215815014429774,1.1822952197102727,-0.0001069000000022,8.889999999439624e-05,-0.8770710349140545,6,13.0,14.0,-14.5,unknown,21.01834975808868,1.3225986146850677,58.18847465136913,-0.6038971934136619,1.1671537229025075,1.2367699866992246,13.5,0.5,13.0,14.0,1.0,0.0,-1.5,0.0,0.0,1.5,8.25,0.0,0.0,0.0,1.0
board01,16.074450000000002,108.1539013,a840411eebb44150,16.0740984,108.15253,-88,-0.5,2026-02-14T02:49:15.059664+00:00,922200000,125000,12,151.64647210744954,2.180832311368812,0.0003516000000018,0.0013713000000024,0.2509921597186663,6,14.0,14.0,-13.5,unknown,152.24619043718457,2.182546434357074,75.38743104480926,-0.0884408572720076,1.27972803109454,1.04,14.833333333333334,0.6871842709362768,14.0,16.0,2.0,0.0,-1.5,0.0,0.0,0.3915031601830314,5.333937019765905,0.0,0.0,0.0,1.0
board01,16.074960500000003,108.1552196,a840411eebb44150,16.0740984,108.15253,-113,-18.2,2026-02-14T02:49:01.056645+00:00,922200000,125000,12,302.9436681330897,2.4813618796792327,0.0008621000000026,0.0026895999999965,0.3101844867365423,6,11.0,14.0,-16.5,unknown,303.3926763485427,2.482005093063092,81.37660421892961,-0.0543314410955691,1.422284786638419,1.1128342194594845,13.363636363636363,1.822721605069402,10.0,16.0,6.0,0.0,-1.5,0.0,0.3636363636363636,-2.369526665537244,3.961464116252296,0.0,0.0,0.0,1.0
board01,16.074443800000005,108.1541618,a840411eebb44150,16.0740984,108.15253,-94,-1.5,2026-02-13T10:50:01.015653+00:00,922200000,125000,12,178.53393547889814,2.251720778377899,0.000345400000004,0.0016317999999984,0.2085892976573001,6,13.0,14.0,-14.5,unknown,179.12179129738337,2.253148423730192,76.79947083227161,-0.0807743775133623,1.2655150969091578,1.2302845199383758,14.5,0.957427107756338,13.0,16.0,3.0,0.0,-1.5,0.0,0.1666666666666666,-0.0473207790390954,4.99016290844925,0.0,0.0,0.0,1.0
board01,16.0738549,108.1525909,a840411eebb44150,16.0740984,108.15253,-60,5.8,2026-02-13T10:49:46.012028+00:00,922200000,125000,12,27.8468900183798,1.4447766995716926,-0.0002434999999998,6.0900000008246025e-05,-1.3257210359428115,6,13.0,14.0,-14.5,unknown,31.39584819201005,1.4968722204771396,61.673946767210566,-0.4326600462919124,1.1671537229025075,1.2367699866992246,13.5,0.5,13.0,14.0,1.0,0.0,-1.5,0.0,0.0,1.5,8.25,0.0,0.0,0.0,1.0
board01,16.073352399999997,108.1512105,a840411eebb44150,16.0740984,108.15253,-87,3.5,2026-02-13T10:49:31.018061+00:00,922200000,125000,12,163.57852285839004,2.213726282120237,-0.000746000000003,-0.0013194999999939,-2.627028971156923,6,14.0,14.0,-13.5,unknown,164.13464942093375,2.215200271874858,76.04050779516493,-0.0820648204131416,0.6797815543055439,0.8908422980528035,14.333333333333334,0.9428090415820634,13.0,16.0,3.0,0.0,-1.5,0.0,0.0,1.5,5.753550294177025,0.0,0.0,0.0,1.0
board01,16.072938,108.1500652,a840411eebb44150,16.0740984,108.15253,-104,-9.5,2026-02-13T10:49:16.015009+00:00,922200000,125000,12,293.26923045455453,2.46726649958201,-0.0011603999999998,-0.0024647999999984,-2.701585959554829,6,13.0,14.0,-14.5,unknown,293.6274706688845,2.467796684083998,81.09243603934775,-0.0493422177429445,1.598483279708075,1.3646977687385584,14.4,1.0198039027185568,13.0,16.0,3.0,0.0,-1.5,0.0,0.1,-0.936161747607354,4.033499809927471,0.0,0.0,0.0,1.0
board01,16.0731911,108.1498744,a840411eebb44150,16.0740984,108.15253,-110,-15.0,2026-02-13T10:49:01.017009+00:00,922200000,125000,12,301.1472481212635,2.4787788989487023,-0.0009073000000014,-0.002655599999997,-2.812371058021744,6,13.0,14.0,-14.5,unknown,301.4961277545863,2.4792817386797688,81.32213713126315,-0.0480564582270207,1.598483279708075,1.3646977687385584,14.545454545454543,0.8907235428302467,13.0,16.0,3.0,0.0,-1.5,0.0,0.0909090909090909,-0.284160501726344,3.7898156570809465,0.0,0.0,0.0,1.0
board01,16.073200500000002,108.1498694,a840411eebb44150,16.0740984,108.15253,-107,-12.0,2026-02-13T10:48:46.023681+00:00,922200000,125000,12,301.3026953526571,2.479003016743221,-0.0008978999999982,-0.0026605999999986,-2.816114513048479,6,13.0,14.0,-14.5,unknown,301.6513952011098,2.479505338360336,81.3266091248745,-0.0480317604141513,1.997954566443324,1.5231546211727818,14.363636363636363,0.9791208740244552,13.0,16.0,3.0,0.0,-1.5,0.0,0.0909090909090909,-0.2853305801017818,3.9707526390623658,0.0,0.0,0.0,1.0
board01,16.0708221,108.1547391,ac1f09fffe06fcf2,16.054765682623003,108.21985626414312,-130,-16.0,2026-02-13T09:35:34.868878466+00:00,922200000,125000,12,7183.424595896273,3.8563315373514335,0.0160564173769977,-0.0651171641431176,2.899837898999624,10,12.0,9.0,-10.5,unknown,7183.4322698086,3.8563320012995055,108.8631423836579,-0.0014616957643199,0.4575593320833216,0.4489988864128729,8.008333333333333,2.7492296900930064,1.0,14.0,13.0,0.0333333333333333,2.809623430962344,0.0417799860529986,0.8083333333333333,-17.78166518825117,-8.150669883664339,0.0,0.0291666666666666,0.275,0.6833333333333333
board01,16.074123800000002,108.15325509999998,a840411eebb44150,16.0740984,108.15253,-82,1.5,2026-02-13T09:23:59.058343+00:00,922200000,125000,12,77.5267234630475,1.8894514296294096,2.540000000195164e-05,0.0007250999999826,0.0350153336058223,6,16.0,14.0,-11.5,unknown,78.37501420041875,1.8941776325266573,69.62005500820092,-0.1456908064056452,1.1671537229025075,1.092520022699813,15.0,0.816496580927726,14.0,16.0,2.0,0.0,-1.5,0.0,0.0,1.5,7.413295206735163,0.0,0.0,0.0,1.0
