lat,lon,rssi,gateway
15.87,108.08,-120.0,7276ff002e062cf2
15.87,108.085,-120.0,7276ff002e062cf2
15.87,108.09,-120.0,7276ff002e062cf2
15.87,108.09499999999998,-120.0,7276ff002e062cf2
15.87,108.09999999999998,-120.0,7276ff002e062cf2
15.87,108.10499999999998,-120.0,7276ff002e062cf2
15.87,108.10999999999996,-120.0,7276ff002e062cf2
15.87,108.11499999999997,-120.0,7276ff002e062cf2
15.87,108.11999999999996,-120.0,7276ff002e062cf2
15.87,108.12499999999996,-120.0,7276ff002e062cf2
15.87,108.12999999999997,-120.0,7276ff002e062cf2
15.87,108.13499999999996,-120.0,7276ff002e062cf2
15.87,108.13999999999994,-120.0,7276ff002e062cf2
15.87,108.14499999999994,-120.0,7276ff002e062cf2
15.87,108.14999999999992,-120.0,7276ff002e062cf2
15.87,108.15499999999992,-120.0,7276ff002e062cf2
15.87,108.15999999999993,-120.0,7276ff002e062cf2
15.87,108.16499999999992,-120.0,7276ff002e062cf2
15.87,108.16999999999992,-120.0,7276ff002e062cf2
15.87,108.17499999999993,-120.0,7276ff002e062cf2
15.87,108.17999999999992,-120.0,7276ff002e062cf2
15.87,108.1849999999999,-120.0,7276ff002e062cf2
15.87,108.1899999999999,-120.0,7276ff002e062cf2
15.87,108.1949999999999,-120.0,7276ff002e062cf2
15.87,108.19999999999987,-120.0,7276ff002e062cf2
15.87,108.20499999999988,-120.0,7276ff002e062cf2
15.87,108.20999999999988,-120.0,7276ff002e062cf2
15.87,108.21499999999988,-120.0,7276ff002e062cf2
15.87,108.21999999999989,-120.0,7276ff002e062cf2
15.87,108.22499999999988,-120.0,7276ff002e062cf2
15.87,108.22999999999986,-120.0,7276ff002e062cf2
15.87,108.23499999999986,-120.0,7276ff002e062cf2
15.87,108.23999999999984,-120.0,7276ff002e062cf2
15.87,108.24499999999983,-120.0,7276ff002e062cf2
15.87,108.24999999999984,-120.0,7276ff002e062cf2
15.87,108.25499999999984,-120.0,7276ff002e062cf2
15.87,108.25999999999983,-120.0,7276ff002e062cf2
15.87,108.26499999999984,-120.0,7276ff002e062cf2
15.87,108.26999999999984,-120.0,7276ff002e062cf2
15.87,108.27499999999982,-120.0,7276ff002e062cf2
15.87,108.27999999999982,-120.0,7276ff002e062cf2
15.87,108.2849999999998,-120.0,7276ff002e062cf2
15.87,108.2899999999998,-120.0,7276ff002e062cf2
15.87,108.2949999999998,-120.0,7276ff002e062cf2
15.87,108.2999999999998,-120.0,7276ff002e062cf2
15.87,108.3049999999998,-120.0,7276ff002e062cf2
15.87,108.3099999999998,-120.0,7276ff002e062cf2
15.87,108.31499999999978,-120.0,7276ff002e062cf2
15.875,108.08,-120.0,7276ff002e062cf2
15.875,108.085,-120.0,7276ff002e062cf2
15.875,108.09,-120.0,7276ff002e062cf2
15.875,108.09499999999998,-120.0,7276ff002e062cf2
15.875,108.09999999999998,-120.0,7276ff002e062cf2
15.875,108.10499999999998,-120.0,7276ff002e062cf2
15.875,108.10999999999996,-120.0,7276ff002e062cf2
15.875,108.11499999999997,-120.0,7276ff002e062cf2
15.875,108.11999999999996,-120.0,7276ff002e062cf2
15.875,108.12499999999996,-120.0,7276ff002e062cf2
15.875,108.12999999999997,-120.0,7276ff002e062cf2
15.875,108.13499999999996,-120.0,7276ff002e062cf2
15.875,108.13999999999994,-120.0,7276ff002e062cf2
15.875,108.14499999999994,-120.0,7276ff002e062cf2
15.875,108.14999999999992,-120.0,7276ff002e062cf2
15.875,108.15499999999992,-120.0,7276ff002e062cf2
15.875,108.15999999999993,-120.0,7276ff002e062cf2
15.875,108.16499999999992,-120.0,7276ff002e062cf2
15.875,108.16999999999992,-120.0,7276ff002e062cf2
15.875,108.17499999999993,-120.0,7276ff002e062cf2
15.875,108.17999999999992,-120.0,7276ff002e062cf2
15.875,108.1849999999999,-120.0,7276ff002e062cf2
15.875,108.1899999999999,-120.0,7276ff002e062cf2
15.875,108.1949999999999,-120.0,7276ff002e062cf2
15.875,108.19999999999987,-120.0,7276ff002e062cf2
15.875,108.20499999999988,-120.0,7276ff002e062cf2
15.875,108.20999999999988,-120.0,7276ff002e062cf2
15.875,108.21499999999988,-120.0,7276ff002e062cf2
15.875,108.21999999999989,-120.0,7276ff002e062cf2
15.875,108.22499999999988,-120.0,7276ff002e062cf2
15.875,108.22999999999986,-120.0,7276ff002e062cf2
15.875,108.23499999999986,-120.0,7276ff002e062cf2
15.875,108.23999999999984,-120.0,7276ff002e062cf2
15.875,108.24499999999983,-120.0,7276ff002e062cf2
15.875,108.24999999999984,-120.0,7276ff002e062cf2
15.875,108.25499999999984,-120.0,7276ff002e062cf2
15.875,108.25999999999983,-120.0,7276ff002e062cf2
15.875,108.26499999999984,-120.0,7276ff002e062cf2
15.875,108.26999999999984,-120.0,7276ff002e062cf2
15.875,108.27499999999982,-120.0,7276ff002e062cf2
15.875,108.27999999999982,-120.0,7276ff002e062cf2
15.875,108.2849999999998,-120.0,7276ff002e062cf2
15.875,108.2899999999998,-120.0,7276ff002e062cf2
15.875,108.2949999999998,-120.0,7276ff002e062cf2
15.875,108.2999999999998,-120.0,7276ff002e062cf2
15.875,108.3049999999998,-120.0,7276ff002e062cf2
15.875,108.3099999999998,-120.0,7276ff002e062cf2
15.875,108.31499999999978,-120.0,7276ff002e062cf2
15.88,108.08,-120.0,7276ff002e062cf2
15.88,108.085,-120.0,7276ff002e062cf2
15.88,108.09,-120.0,7276ff002e062cf2
15.88,108.09499999999998,-120.0,7276ff002e062cf2
15.88,108.09999999999998,-120.0,7276ff002e062cf2
15.88,108.10499999999998,-120.0,7276ff002e062cf2
15.88,108.10999999999996,-120.0,7276ff002e062cf2
15.88,108.11499999999997,-120.0,7276ff002e062cf2
15.88,108.11999999999996,-120.0,7276ff002e062cf2
15.88,108.12499999999996,-120.0,7276ff002e062cf2
15.88,108.12999999999997,-120.0,7276ff002e062cf2
15.88,108.13499999999996,-120.0,7276ff002e062cf2
15.88,108.13999999999994,-120.0,7276ff002e062cf2
15.88,108.14499999999994,-120.0,7276ff002e062cf2
15.88,108.14999999999992,-120.0,7276ff002e062cf2
